MODEL,EPOCH,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS,TIME,TRAINPRECISION,TRAINRECALL,TRAINF1SCORE,TESTPRECISION,TESTRECALL,TESTF1SCORE,TRAINAUC,TESTAUC
ProposedModel,1,0.548167034,0.005568278,0.588666667,0.005359242,56.88550326,0.559772991,0.525517601,0.542104689,0.570667795,0.719482208,0.636492384,0.548498901,0.588946259
ProposedModel,2,0.611080485,0.005133492,0.656666667,0.004933173,54.37289405,0.626099034,0.574706176,0.599302833,0.633821704,0.743988075,0.68450057,0.61155612,0.65789114
ProposedModel,3,0.636576626,0.004927468,0.665,0.004761803,53.36016503,0.642466758,0.625952739,0.634102247,0.669538656,0.649176762,0.659200508,0.637561403,0.665464841
ProposedModel,4,0.656560088,0.004799892,0.699666667,0.004469142,53.36154836,0.678657933,0.606923029,0.640789091,0.749005849,0.599158216,0.665754295,0.65702099,0.699543236
ProposedModel,5,0.671168688,0.004641506,0.706666667,0.004447983,53.20548644,0.717189728,0.580182085,0.641451629,0.727891151,0.660456,0.692535837,0.672402464,0.706209524
ProposedModel,6,0.682538589,0.004583075,0.723333333,0.004279756,53.10254887,0.737331643,0.582419546,0.650783821,0.735107265,0.69448234,0.714217579,0.683698154,0.723262898
ProposedModel,7,0.699421169,0.004450159,0.731,0.004289238,53.51090952,0.758998427,0.595889222,0.66762581,0.83156452,0.582908423,0.685380326,0.701380776,0.731927391
ProposedModel,8,0.702246417,0.004408185,0.733,0.004147693,52.7427909,0.773548176,0.586968096,0.667464417,0.740049677,0.718121233,0.728920571,0.703551923,0.732818471
ProposedModel,9,0.713616318,0.004295426,0.738666667,0.004079594,53.44569356,0.78480598,0.595767652,0.677344555,0.830831496,0.600207435,0.696935954,0.714622197,0.738320485
ProposedModel,10,0.717957552,0.00423916,0.743333333,0.004029279,53.69109564,0.800219168,0.589408809,0.678823735,0.835704758,0.60988311,0.705155637,0.718689315,0.744409298
ProposedModel,11,0.721816428,0.00422476,0.755333333,0.003946515,52.84051619,0.795345526,0.606064966,0.687922721,0.863656391,0.602208317,0.709616731,0.722974124,0.754242682
ProposedModel,12,0.72994763,0.004170521,0.749333333,0.004024782,53.28499263,0.808829592,0.609214146,0.694972116,0.80364071,0.654292173,0.721316917,0.730552782,0.746502107
ProposedModel,13,0.729051819,0.004133395,0.736333333,0.004130536,53.64390032,0.808082334,0.608642859,0.694324551,0.825753952,0.597435219,0.693280279,0.730384949,0.73430548
ProposedModel,14,0.738285557,0.004042698,0.753666667,0.004032607,52.72730306,0.818325634,0.615984105,0.702882466,0.848156956,0.616582943,0.714064132,0.738651098,0.752484441
ProposedModel,15,0.742557883,0.004008717,0.761666667,0.004060054,53.47639998,0.823155209,0.624861406,0.710430966,0.805123536,0.69251987,0.744588524,0.742766077,0.76215575
ProposedModel,16,0.745865491,0.003981757,0.756,0.00391389,52.673258,0.83138715,0.624083124,0.712971882,0.837761009,0.634214827,0.721914641,0.746420058,0.755751466
ProposedModel,17,0.747863837,0.003938316,0.762666667,0.003916594,53.06682247,0.829404799,0.629797104,0.715948546,0.830982509,0.658320346,0.734642643,0.747817384,0.761974271
ProposedModel,18,0.757028666,0.003889105,0.765,0.003897608,52.86116219,0.836230589,0.646247071,0.72906538,0.84696452,0.644966148,0.732290656,0.758121641,0.764306992
ProposedModel,19,0.758337927,0.003791927,0.768333333,0.00399642,53.34940687,0.837879445,0.647335844,0.730384884,0.874305237,0.623294294,0.727763937,0.759523919,0.766794365
ProposedModel,20,0.765435502,0.003751052,0.765666667,0.003959851,53.15880684,0.843136771,0.656531706,0.738224523,0.831735117,0.649241336,0.7292443,0.766195801,0.761220364
ProposedModel,21,0.773084344,0.003672626,0.755666667,0.003968016,52.59888753,0.847385788,0.671187522,0.749064617,0.786919526,0.698174612,0.7398955,0.77379111,0.753981693
ProposedModel,22,0.767020397,0.003728724,0.766333333,0.003911657,53.83100173,0.84433748,0.661629162,0.741899965,0.868419526,0.6318883,0.731508733,0.768839821,0.767380935
ProposedModel,23,0.773359978,0.003611288,0.765,0.004091685,52.86203902,0.846968106,0.672199391,0.74953084,0.817758589,0.679967165,0.742524441,0.773860393,0.76596668
ProposedModel,24,0.781973539,0.003586356,0.76,0.003983632,52.55925489,0.861137091,0.677287294,0.758226684,0.834267579,0.647528181,0.72913121,0.78292574,0.758430938
ProposedModel,25,0.777563396,0.003606977,0.766,0.004128402,53.03708598,0.857797378,0.670063416,0.752396611,0.863629414,0.618536539,0.720818539,0.778363719,0.761735513
ProposedModel,26,0.785212238,0.003525053,0.768333333,0.00385758,53.01107434,0.860346717,0.686846812,0.763868758,0.867951149,0.63303774,0.732111793,0.786522696,0.768354241
ProposedModel,27,0.788244212,0.003463537,0.768666667,0.004191275,52.99749981,0.862394047,0.689512936,0.766324087,0.810527495,0.701690664,0.752192496,0.788552181,0.768851899
ProposedModel,28,0.797684675,0.003392599,0.765,0.004063225,53.27729581,0.864075643,0.710291471,0.779672738,0.817275007,0.682869731,0.744051357,0.798441139,0.764393873
ProposedModel,29,0.795686329,0.003350285,0.772,0.004337345,52.82389423,0.865763824,0.704815501,0.777042909,0.79667499,0.729261205,0.761478973,0.796159674,0.771514444
ProposedModel,30,0.80016538,0.003360449,0.775333333,0.004369586,53.92045345,0.873601727,0.708947803,0.782709183,0.813737067,0.719812432,0.763898469,0.802328566,0.776729608
ProposedModel,31,0.809192393,0.003240136,0.766333333,0.004192718,53.45247503,0.877136591,0.722679897,0.792452117,0.842447683,0.659881668,0.740071785,0.810038752,0.768573918
ProposedModel,32,0.808227674,0.00323642,0.761,0.004277089,53.6376158,0.882718188,0.714727255,0.789889571,0.787589148,0.710613584,0.747123917,0.809378516,0.759829261
ProposedModel,33,0.813602536,0.003113299,0.760333333,0.004287458,53.00996992,0.878266225,0.732265751,0.798648256,0.844658419,0.636985883,0.72626809,0.814986668,0.760178668
ProposedModel,34,0.812362183,0.003158428,0.758666667,0.00430912,52.88414208,0.876768349,0.730990506,0.797270482,0.820525889,0.668974322,0.737040178,0.813794837,0.760703261
ProposedModel,35,0.817668137,0.003069715,0.766333333,0.004334275,53.04320143,0.879181268,0.738924097,0.802973945,0.86547253,0.629927536,0.729149331,0.818301162,0.76629416
ProposedModel,36,0.820011025,0.003040632,0.776,0.004474414,52.97692652,0.887005144,0.738316742,0.805859755,0.829449011,0.697060126,0.757513753,0.821606793,0.777114701
ProposedModel,37,0.827177508,0.002967392,0.764666667,0.004342355,53.36456322,0.886436616,0.753236367,0.814426173,0.863220798,0.626533086,0.726074818,0.828083008,0.764717688
ProposedModel,38,0.829589305,0.002878188,0.771,0.004521539,54.79854013,0.888650092,0.758179011,0.818246224,0.820193287,0.691216689,0.750201861,0.830249494,0.770369688
ProposedModel,39,0.833103638,0.002907155,0.755,0.00460414,53.79350731,0.894124216,0.75652138,0.819587302,0.830620935,0.645776835,0.726627701,0.832699182,0.75652109
ProposedModel,40,0.838547409,0.002803664,0.763666667,0.004639672,54.55391727,0.899670037,0.767621285,0.828416559,0.790909917,0.72350136,0.755705414,0.840173405,0.764770029
ProposedModel,41,0.837858324,0.002821667,0.761666667,0.004572617,53.38191855,0.89291408,0.772440323,0.828319592,0.813803532,0.67747462,0.739407652,0.839046272,0.762280864
ProposedModel,42,0.842475193,0.002719768,0.758,0.004635596,53.84441192,0.897708138,0.776406082,0.832662491,0.847889846,0.629121251,0.722304013,0.843190982,0.758200092
ProposedModel,43,0.849159316,0.002686536,0.761666667,0.004968088,53.31511279,0.903427416,0.78267948,0.83872986,0.782606791,0.722385703,0.751291397,0.849249401,0.75970662
ProposedModel,44,0.845989526,0.002651705,0.755666667,0.004878212,53.07962703,0.905579401,0.775793789,0.835677503,0.78450418,0.705167989,0.742723462,0.847026862,0.754649154
ProposedModel,45,0.852604741,0.002583106,0.763,0.004941086,53.9585487,0.904263061,0.792023944,0.84443021,0.800857081,0.696128253,0.744829262,0.853454483,0.760253944
ProposedModel,46,0.85494763,0.002521916,0.760666667,0.004974993,53.06309435,0.90379685,0.797240962,0.847181485,0.798108622,0.696455381,0.743825013,0.85569586,0.759273034
ProposedModel,47,0.857841786,0.002525814,0.766666667,0.00477418,53.23510569,0.907467724,0.800373815,0.850562992,0.820956108,0.686962877,0.748006193,0.858585107,0.767587665
ProposedModel,48,0.861080485,0.002478587,0.762,0.005212803,52.93117064,0.910055156,0.803771895,0.853617939,0.809391385,0.686591636,0.742951421,0.861512725,0.762522694
ProposedModel,49,0.865283903,0.002409697,0.771,0.004858407,53.47442021,0.911477221,0.812373663,0.859076728,0.836720605,0.664856342,0.740953038,0.865925085,0.768393013
ProposedModel,50,0.86817806,0.00236832,0.749333333,0.005728757,53.05967414,0.914593293,0.814733212,0.861780039,0.799705249,0.662475953,0.724650948,0.868980152,0.747637393
ProposedModel,51,0.866937707,0.002334895,0.757666667,0.005187177,56.03240458,0.951636121,0.774275238,0.853842557,0.85848417,0.617711895,0.71846267,0.867585993,0.758207177
ProposedModel,52,0.865008269,0.002363346,0.757666667,0.005303588,53.94871397,0.952981586,0.769154273,0.851256717,0.834843677,0.646386763,0.728626536,0.865605729,0.759340041
ProposedModel,53,0.863285557,0.0023874,0.755,0.005285748,53.90868387,0.949074385,0.768565009,0.849334693,0.850932926,0.618352264,0.716234404,0.863889212,0.754343543
ProposedModel,54,0.862596472,0.002380957,0.753,0.005453179,54.0167261,0.946823455,0.768955155,0.848669837,0.829854333,0.628866481,0.715513989,0.863274265,0.750244236
ProposedModel,55,0.864457001,0.00237141,0.752,0.005410114,53.4262869,0.952539088,0.768428073,0.850635378,0.834811356,0.622858832,0.713425616,0.864640604,0.750542155
ProposedModel,56,0.86314774,0.002419873,0.761333333,0.005346075,53.69374468,0.948426218,0.768802625,0.849220031,0.851354949,0.633469404,0.726425736,0.863795528,0.761817347
ProposedModel,57,0.865283903,0.002389743,0.766666667,0.005188034,53.59796743,0.94863996,0.774307743,0.852654163,0.858299999,0.641055289,0.733939124,0.866382088,0.768468202
ProposedModel,58,0.862941014,0.002388085,0.749333333,0.005425481,53.01550641,0.947527365,0.76815076,0.848462022,0.829754742,0.621715266,0.710825835,0.863207641,0.747882146
ProposedModel,59,0.864870452,0.002363024,0.757333333,0.005334924,52.53450608,0.949135543,0.771832611,0.85135075,0.84176449,0.634868786,0.723822236,0.865033562,0.758201702
ProposedModel,60,0.862183021,0.002375685,0.755333333,0.00529304,53.33751326,0.948012111,0.76547609,0.847021419,0.841427739,0.633304638,0.722680397,0.861817437,0.756875852
ProposedModel,61,0.866041896,0.002357204,0.754,0.005468552,53.1927293,0.95145827,0.771574864,0.852126718,0.832724034,0.638532933,0.722812849,0.866346772,0.754026937
ProposedModel,62,0.868109151,0.002330658,0.752666667,0.005479773,52.83145844,0.953349476,0.774644882,0.854756601,0.822185443,0.647024194,0.724163333,0.868288645,0.753206943
ProposedModel,63,0.86266538,0.002398405,0.755666667,0.005313165,53.43780733,0.952574208,0.764778697,0.848408571,0.839030827,0.634635008,0.72265818,0.863629032,0.756809514
ProposedModel,64,0.866041896,0.002354737,0.763,0.005371237,53.33896916,0.94928982,0.774639771,0.853117961,0.844666218,0.646193922,0.732219155,0.866672543,0.764619622
ProposedModel,65,0.86404355,0.00236753,0.747,0.005437324,53.38999381,0.948987564,0.77093733,0.85074638,0.835398587,0.617703275,0.710244005,0.864907358,0.7462572
ProposedModel,66,0.865697354,0.00234575,0.749333333,0.005486199,54.09015718,0.949022957,0.77324782,0.852165574,0.832049279,0.628079361,0.715817724,0.866199235,0.748832458
ProposedModel,67,0.861631753,0.002421732,0.755,0.005179028,53.39439147,0.950043036,0.763724692,0.846755734,0.851828076,0.624350137,0.720562018,0.862051545,0.758239632
ProposedModel,68,0.867557883,0.002364328,0.755666667,0.005680035,54.53997286,0.951421484,0.776415398,0.855055588,0.831754077,0.641643007,0.724433614,0.868565063,0.754312967
ProposedModel,69,0.862803197,0.002385254,0.749,0.005669897,53.67198425,0.947721482,0.769416641,0.849311619,0.818635796,0.646181091,0.722256791,0.863620647,0.750577558
ProposedModel,70,0.866041896,0.002364284,0.759333333,0.005419354,53.38115817,0.950944228,0.772630217,0.852563401,0.8454475,0.628774251,0.721188137,0.866313095,0.757630602
ProposedModel,71,0.864939361,0.002353329,0.762333333,0.005433625,53.72109872,0.95163386,0.769881229,0.851163083,0.84949415,0.637938805,0.728671879,0.865474208,0.762480195
ProposedModel,72,0.866937707,0.002360118,0.755,0.005387431,53.25240742,0.954162969,0.772423534,0.853728361,0.824513737,0.651465046,0.727844988,0.867653399,0.7557783
ProposedModel,73,0.867488975,0.002341873,0.759333333,0.005221025,53.55693361,0.953380672,0.773712513,0.854201223,0.83700828,0.646070124,0.729248086,0.868218675,0.760049117
ProposedModel,74,0.861149394,0.002399757,0.767,0.005222183,54.4305534,0.949160296,0.764539042,0.846904807,0.850460501,0.651779279,0.737981432,0.861962787,0.76833156
ProposedModel,75,0.861631753,0.002384487,0.757333333,0.005180086,53.84236391,0.949781664,0.764160522,0.846919643,0.82932377,0.64656639,0.726629787,0.862282544,0.758259667
ProposedModel,76,0.86542172,0.002353052,0.761666667,0.005272004,53.43843805,0.94834285,0.773468155,0.852024981,0.840851083,0.645972075,0.730640111,0.866141378,0.761143492
ProposedModel,77,0.864663727,0.002391959,0.758666667,0.005572186,53.01924776,0.951102818,0.769340045,0.85061992,0.831241564,0.646815081,0.727522292,0.864988016,0.757928852
ProposedModel,78,0.861287211,0.002403009,0.759666667,0.005275786,53.94960215,0.946246909,0.767955939,0.847829572,0.838463338,0.646577686,0.730123513,0.862526501,0.761490455
ProposedModel,79,0.863354465,0.002345376,0.761333333,0.005297537,54.2247906,0.945936684,0.771622716,0.849934196,0.840150381,0.645824532,0.73028114,0.863701792,0.761201121
ProposedModel,80,0.865008269,0.002353812,0.756333333,0.005169918,53.57805438,0.952681683,0.768956798,0.851016127,0.828781897,0.649626113,0.728348816,0.865097074,0.75752269
ProposedModel,81,0.869004961,0.002350382,0.759,0.005359971,53.80374885,0.955990582,0.7745588,0.855763986,0.831927011,0.647629978,0.728300263,0.869834577,0.758846459
ProposedModel,82,0.865352811,0.002354195,0.757666667,0.005173849,53.69811299,0.948574461,0.77460898,0.852810302,0.840836695,0.626485575,0.718004587,0.866789217,0.75466857
ProposedModel,83,0.857772878,0.002428837,0.752333333,0.0054298,55.17157764,0.947254227,0.759932472,0.843316371,0.836222373,0.628065118,0.717348344,0.858462977,0.753532358
ProposedModel,84,0.863285557,0.002396502,0.752,0.005134681,54.88894494,0.950379124,0.766830303,0.848795145,0.842144164,0.621210656,0.714999427,0.863904032,0.752042171
ProposedModel,85,0.863078831,0.002372386,0.757333333,0.005539975,53.54581007,0.953572385,0.763885805,0.848254022,0.823447581,0.644566856,0.723108718,0.863796626,0.754480916
ProposedModel,86,0.864181367,0.00239759,0.754,0.005422316,53.71237894,0.950350475,0.770602214,0.851089266,0.827956981,0.646281011,0.725924685,0.865549731,0.75498572
ProposedModel,87,0.867282249,0.002347052,0.755333333,0.005367709,53.94803018,0.952235113,0.773318728,0.853501327,0.828336608,0.638328905,0.72102493,0.867520883,0.754220748
ProposedModel,88,0.86631753,0.002325094,0.753,0.005521897,53.90335964,0.952707292,0.771992952,0.852882485,0.838972718,0.63084957,0.720176286,0.866929964,0.75565224
ProposedModel,89,0.864732635,0.002369757,0.756666667,0.005419182,59.99811171,0.953096277,0.768867693,0.851126909,0.846502395,0.631930977,0.723645848,0.865653328,0.75833251
ProposedModel,90,0.863836825,0.002385235,0.751333333,0.005517142,54.20024206,0.951821878,0.767623446,0.84985638,0.840738096,0.625662918,0.717428105,0.864740126,0.754099707
ProposedModel,91,0.86266538,0.002380688,0.747666667,0.005474178,54.19978236,0.947886831,0.768974139,0.849108311,0.82676513,0.628589083,0.714184259,0.863440162,0.748060415
ProposedModel,92,0.862527563,0.002391769,0.754333333,0.005427514,53.59368679,0.950596908,0.765815396,0.848259763,0.842233048,0.618426048,0.713183325,0.86336434,0.751925329
ProposedModel,93,0.864732635,0.00236914,0.756333333,0.005355687,52.93751429,0.949894224,0.771196341,0.851268335,0.846655726,0.624366211,0.718715628,0.865223753,0.755945839
ProposedModel,94,0.867764609,0.002357314,0.756666667,0.005415285,53.40705637,0.95456849,0.772027787,0.853648775,0.836272584,0.635787782,0.722377837,0.867522174,0.755024298
ProposedModel,95,0.867626792,0.002365026,0.760333333,0.00525522,52.93435996,0.952897212,0.77549499,0.855091817,0.845756726,0.635226152,0.725527349,0.86856185,0.760361755
ProposedModel,96,0.863354465,0.002359781,0.758,0.005366971,53.38045476,0.950996127,0.768207013,0.849884318,0.845310318,0.629473687,0.721598011,0.864381459,0.757962676
ProposedModel,97,0.864594818,0.002358841,0.756333333,0.005259068,54.81755877,0.952386488,0.768956163,0.850897942,0.837806755,0.637217961,0.72387331,0.865149673,0.757008751
ProposedModel,98,0.869349504,0.002322495,0.759333333,0.005179049,54.59515445,0.951739265,0.778714042,0.856576397,0.840997212,0.641358725,0.727734664,0.869553375,0.759113223
ProposedModel,99,0.86452591,0.002388101,0.752666667,0.005476381,53.52035997,0.948833134,0.771345855,0.850932967,0.833091553,0.630830646,0.717988542,0.86507569,0.752136059
ProposedModel,100,0.864112459,0.002381639,0.757,0.005235616,53.93287318,0.947735205,0.771839169,0.850790944,0.846519086,0.624142646,0.718518271,0.864476904,0.755926893
